"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"127",43,10,"s53A","receiver","coop",100,1,1,"truth","trust","1",962.0795,"waiting",127,"s53A+beta+event_127+tlrc"
"128",43,10,"s53A","receiver","coop",100,1,1,"truth","trust","2",969.0795,"active",128,"s53A+beta+event_128+tlrc"
"129",43,10,"s53A","receiver","coop",100,1,1,"truth","trust","FB",976.0795,"feedback",129,"s53A+beta+event_129+tlrc"
"130",44,85,"s53A","receiver","comp",0,1,2,"truth","doubt","1",984.0848,"waiting",130,"s53A+beta+event_130+tlrc"
"131",44,85,"s53A","receiver","comp",0,1,2,"truth","doubt","2",991.0848,"active",131,"s53A+beta+event_131+tlrc"
"132",44,85,"s53A","receiver","comp",0,1,2,"truth","doubt","FB",998.0848,"feedback",132,"s53A+beta+event_132+tlrc"
"133",45,15,"s53A","sender","coop",100,1,1,"truth","trust","1",1007.0903,"active",133,"s53A+beta+event_133+tlrc"
"134",45,15,"s53A","sender","coop",100,1,1,"truth","trust","2",1014.0903,"waiting",134,"s53A+beta+event_134+tlrc"
"135",45,15,"s53A","sender","coop",100,1,1,"truth","trust","FB",1021.0903,"feedback",135,"s53A+beta+event_135+tlrc"
"136",46,65,"s53A","sender","comp",0,1,2,"lie","doubt","1",1030.0952,"active",136,"s53A+beta+event_136+tlrc"
"137",46,65,"s53A","sender","comp",0,1,2,"lie","doubt","2",1037.0952,"waiting",137,"s53A+beta+event_137+tlrc"
"138",46,65,"s53A","sender","comp",0,1,2,"lie","doubt","FB",1044.0952,"feedback",138,"s53A+beta+event_138+tlrc"
"139",47,25,"s53A","receiver","coop",100,1,1,"truth","trust","1",1055.1007,"waiting",139,"s53A+beta+event_139+tlrc"
"140",47,25,"s53A","receiver","coop",100,1,1,"truth","trust","2",1062.1007,"active",140,"s53A+beta+event_140+tlrc"
"141",47,25,"s53A","receiver","coop",100,1,1,"truth","trust","FB",1069.1007,"feedback",141,"s53A+beta+event_141+tlrc"
"142",48,90,"s53A","receiver","comp",0,1,2,"truth","doubt","1",1074.1077,"waiting",142,"s53A+beta+event_142+tlrc"
"143",48,90,"s53A","receiver","comp",0,1,2,"truth","doubt","2",1081.1077,"active",143,"s53A+beta+event_143+tlrc"
"144",48,90,"s53A","receiver","comp",0,1,2,"truth","doubt","FB",1088.1077,"feedback",144,"s53A+beta+event_144+tlrc"
"145",49,65,"s53A","sender","coop",100,2,2,"truth","trust","1",1097.1126,"active",145,"s53A+beta+event_145+tlrc"
"146",49,65,"s53A","sender","coop",100,2,2,"truth","trust","2",1104.1126,"waiting",146,"s53A+beta+event_146+tlrc"
"147",49,65,"s53A","sender","coop",100,2,2,"truth","trust","FB",1111.1126,"feedback",147,"s53A+beta+event_147+tlrc"
"148",50,15,"s53A","sender","comp",150,1,2,"truth","doubt","1",1118.118,"active",148,"s53A+beta+event_148+tlrc"
"149",50,15,"s53A","sender","comp",150,1,2,"truth","doubt","2",1125.118,"waiting",149,"s53A+beta+event_149+tlrc"
"150",50,15,"s53A","sender","comp",150,1,2,"truth","doubt","FB",1132.118,"feedback",150,"s53A+beta+event_150+tlrc"
"151",51,60,"s53A","receiver","coop",0,2,2,"truth","trust","1",1142.1234,"waiting",151,"s53A+beta+event_151+tlrc"
"152",51,60,"s53A","receiver","coop",0,2,2,"truth","trust","2",1149.1234,"active",152,"s53A+beta+event_152+tlrc"
"153",51,60,"s53A","receiver","coop",0,2,2,"truth","trust","FB",1156.1234,"feedback",153,"s53A+beta+event_153+tlrc"
"154",52,30,"s53A","receiver","comp",0,1,1,"truth","trust","1",1166.1283,"waiting",154,"s53A+beta+event_154+tlrc"
"155",52,30,"s53A","receiver","comp",0,1,1,"truth","trust","2",1173.1283,"active",155,"s53A+beta+event_155+tlrc"
"156",52,30,"s53A","receiver","comp",0,1,1,"truth","trust","FB",1180.1283,"feedback",156,"s53A+beta+event_156+tlrc"
"157",53,75,"s53A","sender","coop",100,2,2,"truth","trust","1",1190.1333,"active",157,"s53A+beta+event_157+tlrc"
"158",53,75,"s53A","sender","coop",100,2,2,"truth","trust","2",1197.1333,"waiting",158,"s53A+beta+event_158+tlrc"
"159",53,75,"s53A","sender","coop",100,2,2,"truth","trust","FB",1204.1333,"feedback",159,"s53A+beta+event_159+tlrc"
"160",54,80,"s53A","sender","comp",0,1,2,"lie","doubt","1",1213.1383,"active",160,"s53A+beta+event_160+tlrc"
"161",54,80,"s53A","sender","comp",0,1,2,"lie","doubt","2",1220.1383,"waiting",161,"s53A+beta+event_161+tlrc"
"162",54,80,"s53A","sender","comp",0,1,2,"lie","doubt","FB",1227.1383,"feedback",162,"s53A+beta+event_162+tlrc"
"163",55,20,"s53A","receiver","coop",100,1,1,"truth","trust","1",1236.1432,"waiting",163,"s53A+beta+event_163+tlrc"
"164",55,20,"s53A","receiver","coop",100,1,1,"truth","trust","2",1243.1432,"active",164,"s53A+beta+event_164+tlrc"
"165",55,20,"s53A","receiver","coop",100,1,1,"truth","trust","FB",1250.1432,"feedback",165,"s53A+beta+event_165+tlrc"
"166",56,35,"s53A","receiver","comp",0,1,1,"truth","trust","1",1256.1486,"waiting",166,"s53A+beta+event_166+tlrc"
"167",56,35,"s53A","receiver","comp",0,1,1,"truth","trust","2",1263.1486,"active",167,"s53A+beta+event_167+tlrc"
"168",56,35,"s53A","receiver","comp",0,1,1,"truth","trust","FB",1270.1486,"feedback",168,"s53A+beta+event_168+tlrc"
"169",57,40,"s53A","sender","coop",0,1,1,"truth","trust","1",1300.0001,"active",169,"s53A+beta+event_169+tlrc"
"170",57,40,"s53A","sender","coop",0,1,1,"truth","trust","2",1307.0001,"waiting",170,"s53A+beta+event_170+tlrc"
"171",57,40,"s53A","sender","coop",0,1,1,"truth","trust","FB",1314.0001,"feedback",171,"s53A+beta+event_171+tlrc"
"172",58,65,"s53A","sender","comp",0,0,0,NA,"trust","1",1320.0086,"active",172,"s53A+beta+event_172+tlrc"
"173",58,65,"s53A","sender","comp",0,0,0,NA,"trust","2",1327.0086,"waiting",173,"s53A+beta+event_173+tlrc"
"174",58,65,"s53A","sender","comp",0,0,0,NA,"trust","FB",1334.0086,"feedback",174,"s53A+beta+event_174+tlrc"
"175",59,10,"s53A","receiver","coop",100,1,1,"truth","trust","1",1343.0147,"waiting",175,"s53A+beta+event_175+tlrc"
"176",59,10,"s53A","receiver","coop",100,1,1,"truth","trust","2",1350.0147,"active",176,"s53A+beta+event_176+tlrc"
"177",59,10,"s53A","receiver","coop",100,1,1,"truth","trust","FB",1357.0147,"feedback",177,"s53A+beta+event_177+tlrc"
"178",60,90,"s53A","receiver","comp",150,2,2,"truth","trust","1",1366.0205,"waiting",178,"s53A+beta+event_178+tlrc"
"179",60,90,"s53A","receiver","comp",150,2,2,"truth","trust","2",1373.0205,"active",179,"s53A+beta+event_179+tlrc"
"180",60,90,"s53A","receiver","comp",150,2,2,"truth","trust","FB",1380.0205,"feedback",180,"s53A+beta+event_180+tlrc"
"181",61,40,"s53A","sender","coop",100,1,1,"truth","trust","1",1389.0266,"active",181,"s53A+beta+event_181+tlrc"
"182",61,40,"s53A","sender","coop",100,1,1,"truth","trust","2",1396.0266,"waiting",182,"s53A+beta+event_182+tlrc"
"183",61,40,"s53A","sender","coop",100,1,1,"truth","trust","FB",1403.0266,"feedback",183,"s53A+beta+event_183+tlrc"
"184",62,70,"s53A","sender","comp",150,2,1,"truth","doubt","1",1411.036,"active",184,"s53A+beta+event_184+tlrc"
"185",62,70,"s53A","sender","comp",150,2,1,"truth","doubt","2",1418.036,"waiting",185,"s53A+beta+event_185+tlrc"
"186",62,70,"s53A","sender","comp",150,2,1,"truth","doubt","FB",1425.036,"feedback",186,"s53A+beta+event_186+tlrc"
"187",63,25,"s53A","receiver","coop",100,1,1,"truth","trust","1",1435.041,"waiting",187,"s53A+beta+event_187+tlrc"
"188",63,25,"s53A","receiver","coop",100,1,1,"truth","trust","2",1442.041,"active",188,"s53A+beta+event_188+tlrc"
"189",63,25,"s53A","receiver","coop",100,1,1,"truth","trust","FB",1449.041,"feedback",189,"s53A+beta+event_189+tlrc"
"190",64,65,"s53A","receiver","comp",150,2,2,"truth","trust","1",1461.0463,"waiting",190,"s53A+beta+event_190+tlrc"
"191",64,65,"s53A","receiver","comp",150,2,2,"truth","trust","2",1468.0463,"active",191,"s53A+beta+event_191+tlrc"
"192",64,65,"s53A","receiver","comp",150,2,2,"truth","trust","FB",1475.0463,"feedback",192,"s53A+beta+event_192+tlrc"
"193",65,35,"s53A","sender","coop",0,1,1,"truth","trust","1",1483.0514,"active",193,"s53A+beta+event_193+tlrc"
"194",65,35,"s53A","sender","coop",0,1,1,"truth","trust","2",1490.0514,"waiting",194,"s53A+beta+event_194+tlrc"
"195",65,35,"s53A","sender","coop",0,1,1,"truth","trust","FB",1497.0514,"feedback",195,"s53A+beta+event_195+tlrc"
"196",66,80,"s53A","sender","comp",0,2,2,"truth","trust","1",1504.0563,"active",196,"s53A+beta+event_196+tlrc"
